Age,Gender,Marital Status,Occupation,Educational Qualifications,Family size,Output,Feedback,
20,Female,Single,Student,Post Graduate,4,Yes,Positive,Yes
24,Female,Single,Student,Graduate,3,Yes,Positive,Yes
22,Male,Single,Student,Post Graduate,3,Yes,Negative ,Yes
22,Female,Single,Student,Graduate,6,Yes,Positive,Yes
22,Male,Single,Student,Post Graduate,4,Yes,Positive,Yes
27,Female,Married,Employee,Post Graduate,2,Yes,Positive,Yes
22,Male,Single,Student,Graduate,3,Yes,Positive,Yes
24,Female,Single,Student,Post Graduate,3,Yes,Positive,Yes
23,Female,Single,Student,Post Graduate,2,Yes,Positive,Yes
23,Female,Single,Student,Post Graduate,4,Yes,Positive,Yes
22,Female,Single,Student,Post Graduate,5,Yes,Positive,Yes
23,Male,Single,Student,Post Graduate,2,Yes,Negative ,Yes
23,Male,Single,Student,Post Graduate,5,Yes,Positive,Yes
21,Male,Single,Student,Graduate,4,Yes,Positive,Yes
23,Female,Single,Self Employeed,Post Graduate,5,Yes,Positive,Yes
24,Female,Single,Student,Post Graduate,6,Yes,Positive,Yes
28,Female,Single,Employee,Post Graduate,2,Yes,Positive,Yes
23,Female,Single,Student,Graduate,3,Yes,Negative ,Yes
25,Male,Single,Student,Graduate,4,Yes,Negative ,Yes
21,Female,Single,Student,Post Graduate,1,Yes,Positive,Yes
24,Male,Single,Student,Post Graduate,3,Yes,Positive,Yes
22,Male,Single,Student,Post Graduate,4,Yes,Positive,Yes
22,Female,Single,Student,Graduate,4,Yes,Positive,Yes
23,Male,Single,Student,Graduate,4,Yes,Positive,Yes
21,Male,Single,Student,Post Graduate,3,Yes,Positive,Yes
25,Male,Single,Student,Post Graduate,3,Yes,Positive,Yes
22,Female,Single,Student,Post Graduate,5,Yes,Positive,Yes
22,Male,Single,Student,Post Graduate,3,Yes,Positive,Yes
23,Female,Single,Employee,Graduate,3,Yes,Positive,Yes
22,Male,Single,Student,Post Graduate,4,Yes,Positive,Yes
22,Female,Single,Employee,Graduate,5,Yes,Positive,Yes
22,Male,Single,Student,Post Graduate,4,Yes,Positive,Yes
25,Male,Married,Employee,Ph.D,4,Yes,Positive,Yes
22,Female,Single,Student,Post Graduate,5,Yes,Positive,Yes
22,Female,Single,Student,Post Graduate,2,Yes,Positive,Yes
25,Male,Single,Student,Post Graduate,3,Yes,Positive,Yes
25,Male,Single,Student,Post Graduate,5,No,Positive,No
32,Female,Prefer not to say,House wife,Graduate,5,Yes,Negative ,Yes
23,Female,Single,Student,Post Graduate,3,Yes,Positive,Yes
23,Female,Single,Student,Post Graduate,4,Yes,Positive,Yes
30,Male,Married,Self Employeed,Uneducated,4,Yes,Negative ,Yes
23,Male,Single,Student,Graduate,3,Yes,Positive,Yes
23,Male,Single,Student,Post Graduate,4,Yes,Positive,Yes
22,Female,Single,Student,Post Graduate,5,Yes,Positive,Yes
22,Male,Single,Student,Graduate,5,Yes,Positive,Yes
27,Female,Married,Self Employeed,Post Graduate,2,Yes,Positive,Yes
24,Female,Single,Student,Post Graduate,3,Yes,Positive,Yes
23,Male,Single,Student,Post Graduate,2,Yes,Positive,Yes
23,Female,Single,Student,Graduate,3,Yes,Negative ,Yes
22,Female,Single,Student,Post Graduate,5,Yes,Positive,Yes
23,Female,Single,Student,Graduate,5,Yes,Positive,Yes
23,Female,Single,Student,Post Graduate,2,Yes,Positive,Yes
24,Male,Single,Student,Post Graduate,3,Yes,Positive,Yes
25,Male,Single,Student,Post Graduate,2,Yes,Positive,Yes
22,Male,Single,Student,Post Graduate,3,Yes,Positive,Yes
28,Female,Married,Student,Graduate,2,Yes,Positive,Yes
22,Female,Single,Student,Post Graduate,1,Yes,Positive,Yes
24,Female,Single,Student,Graduate,3,Yes,Positive,Yes
31,Male,Married,Employee,Ph.D,5,Yes,Positive,Yes
